match_id,team,form_win_share
487653,Monte,1.0
487653,Team Falcons,0.3333333333333333
487656,B8 Esports,0.3333333333333333
487656,Monte,0.6666666666666666
557551,Rare Atom,0.5
557551,The Mongolz,0.5
557623,IKLA,0.3333333333333333
557623,Movistar Riders,0.3333333333333333
557625,1win Team,1.0
557625,9INE,0.3333333333333333
557626,IKLA,0.0
557626,ORKS,0.3333333333333333
557632,SAW,0.3333333333333333
557632,Team Spirit,0.6666666666666666
557633,Pompa Team,0.3333333333333333
557633,RUBIK,0.0
557637,Sinners Esports,0.6666666666666666
557637,The Prodigies,1.0
557638,Sangal Esports,0.0
557638,Sprout,0.0
557639,Apeks,0.6666666666666666
557639,Aurora Gaming,1.0
557642,Apeks,0.3333333333333333
557642,Sinners Esports,0.6666666666666666
557645,PARIVISION,0.6666666666666666
557645,Team Space,0.3333333333333333
557647,FORZE,0.6666666666666666
557647,Monte,1.0
557650,Monte,0.6666666666666666
557650,Team Space,0.6666666666666666
566812,Fnatic,0.3333333333333333
566812,Ninjas in Pyjamas,0.5
566813,Monte,0.6666666666666666
566813,OG,0.0
566814,Apeks,0.6666666666666666
566814,BIG,1.0
566815,9INE,0.3333333333333333
566815,Astralis,0.5
580027,FORZE,0.6666666666666666
580027,Preasy Esport,0.5
585168,ECSTATIC,1.0
585168,Virtus.pro,1.0
588338,1win Team,1.0
588338,Bad News Eagles,0.5
589042,BIG,0.6666666666666666
589042,FURIA Esports,1.0
589043,Heroic,0.3333333333333333
589043,Nouns Esports,1.0
589045,M80,0.5
589045,MOUZ,0.6666666666666666
589046,FaZe Clan,1.0
589046,SAW,0.3333333333333333
589047,Monte,0.6666666666666666
589047,Wildcard Gaming,0.0
589048,Ninjas in Pyjamas,1.0
589048,Virtus.pro,0.6666666666666666
589049,Cloud9,0.3333333333333333
589049,Fnatic,0.0
589226,9Pandas,1.0
589226,Preasy Esport,1.0
589725,Looking4Org,0.6666666666666666
589725,Team Falcons,0.3333333333333333
589731,9z Team,0.0
589731,Team Spirit,0.3333333333333333
589732,Movistar Riders,0.6666666666666666
589732,Virtus.pro,0.6666666666666666
589733,Aurora Gaming,0.3333333333333333
589733,Eternal Fire,0.0
589734,FURIA Esports,1.0
589734,Heroic,1.0
592593,1win Team,1.0
592593,Preasy Esport,1.0
593236,Apeks,0.3333333333333333
593236,Astralis,0.0
593237,9INE,0.3333333333333333
593237,BIG,1.0
593331,Fnatic,0.3333333333333333
593331,OG,0.0
593332,Monte,1.0
593332,Ninjas in Pyjamas,0.3333333333333333
593763,ECSTATIC,1.0
593763,Looking4Org,0.6666666666666666
597060,Cloud9,0.6666666666666666
597060,Virtus.pro,0.6666666666666666
597061,Fnatic,0.0
597061,Ninjas in Pyjamas,0.5
597261,9z Team,0.3333333333333333
597261,Movistar Riders,0.6666666666666666
597457,FaZe Clan,1.0
597457,Monte,1.0
597458,SAW,0.3333333333333333
597458,Wildcard Gaming,0.0
597459,Aurora Gaming,0.6666666666666666
597459,Heroic,0.5
601210,Fnatic,0.3333333333333333
601210,Virtus.pro,0.6666666666666666
601536,Rare Atom,0.5
601536,The Mongolz,0.5
602150,Monte,0.6666666666666666
602150,SAW,0.3333333333333333
602151,Ninjas in Pyjamas,0.0
602151,OG,0.3333333333333333
602567,9INE,0.3333333333333333
602567,Apeks,0.6666666666666666
606591,MOUZ,0.6666666666666666
606591,Team Spirit,0.3333333333333333
606592,Complexity,0.3333333333333333
606592,M80,0.0
607260,Monte,0.6666666666666666
607260,Movistar Riders,0.6666666666666666
607261,Aurora Gaming,0.6666666666666666
607261,BIG,1.0
607262,OG,0.6666666666666666
607262,Virtus.pro,0.6666666666666666
607263,Apeks,1.0
607263,FURIA Esports,0.6666666666666666
609844,BIG,0.6666666666666666
609844,Heroic,0.3333333333333333
609845,FURIA Esports,0.6666666666666666
609845,Nouns Esports,0.6666666666666666
609846,Aurora Gaming,1.0
609846,Monte,1.0
610310,Complexity,0.3333333333333333
610310,MOUZ,0.3333333333333333
611948,FaZe Clan,1.0
611948,Ninjas in Pyjamas,0.0
